api_developer_name,list_source,output_directory
Darena Solutions LLC dba Darena Health,https://app.meldrx.com/api/Directories/fhir/endpoints,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/darena_solutions_llc_dba_darena_health_a0c85e28c2806a7206f4cbbbfb1189ca
Office Practicum,https://applications.op.healthcare/api/v2/atlas-format/Endpoint?_revinclude=Endpoint:organization,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/office_practicum_7fc062f99e95425d3e181eab8df6d611
Criterions Software Inc,https://appstudio.interopengine.com/partner/fhirR4endpoints-criterions.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/criterions_software_inc_9c24b1a0a478f516cff6b716372c8328
Dexter Solutions Inc,https://appstudio.interopengine.com/partner/fhirR4endpoints-ezdocs.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/dexter_solutions_inc_a370867500300df443a029de89040c71
MedNet Medical Solutions,https://appstudio.interopengine.com/partner/fhirR4endpoints-mednetmedical.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/mednet_medical_solutions_91882961eae07fe7273037ab9e774af4
Zoobook Systems LLC,https://appstudio.interopengine.com/partner/fhirR4endpoints-zoobook.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/zoobook_systems_llc_fae725c74837e2bd855d0b2710740bbc
Careexpand LLC,https://auth-api.dev.careexpandcloud.com/fhir/service-base-urls,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/careexpand_llc_21266654b34690cfa7b4f3d257a479dd
Brilogy Corporation,https://axeium.net/g10.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/brilogy_corporation_eacfe6f7f96185b6fe2a23bc66caab8c
"ChartPath, LLC",https://beta.afoundria.com/api/fhir/urls/downloadJSON,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/chartpath_llc_8a1ff8d86a0f7e239027bcdc7cce6231
Comtron Inc.,https://bill.medgenehr.com/MedgenAPI/medgenbundle.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/comtron_inc_f01e42d0827587b196c551883d7a0df3
Carepaths Inc,https://carepaths.com/uploads/org_endpoint_bundle.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/carepaths_inc_0a2a2f3518dcc71c7b5f2aaaa1f1bb3b
CHN Tech Solutions LLC,https://chntechsolutions.com/wp-content/uploads/2024/12/Endpoint.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/chn_tech_solutions_llc_c64cfc09414f4bf9a08d97560bc44dcc
"MedicaSoft, LLC",https://code.medicasoft.us/fhir_r4_endpoints.json,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/medicasoft_llc_aee3b280419cee0f2d32c327269bb22e
"Harris CareTracker, Inc",https://ct-fhir.harrisambulatory.com/Endpoints/R4,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/harris_caretracker_inc_1d6106d5d0489e72dacc4055f0f197df
EDENLAB OÜ,https://demo.kodjin.com/fhir/fhir-base-url,/Users/ftrotter/gitgov/DSACMS/npd_ehr_scrape_cache/cache/fhir_json_cache/edenlab_o_521398ad7719834fd6b8dcc905d6854c
